n,TimeA
1,1e-07
10001,0.0070126
20001,0.0224066
30001,0.03616
40001,0.0312262
50001,0.0397762
60001,0.0547024
70001,0.0834163
80001,0.0977809
90001,0.0954413
100001,0.0992438
110001,0.108164
120001,0.136759
130001,0.136592
140001,0.126807
150001,0.123136
160001,0.129951
170001,0.171908
180001,0.175559
190001,0.179476
200001,0.154527
210001,0.172779
220001,0.202705
230001,0.202892
240001,0.230274
250001,0.242887
260001,0.275658
270001,0.340121
280001,0.343726
290001,0.35468
300001,0.361966
310001,0.372295
320001,0.391489
330001,0.375287
340001,0.376447
350001,0.392908
360001,0.4221
370001,0.422167
380001,0.401064
390001,0.406496
400001,0.417741
410001,0.461604
420001,0.482791
430001,0.430511
440001,0.45483
450001,0.49095
460001,0.59241
470001,0.583651
480001,0.568716
490001,0.561383
500001,0.55408
510001,0.612719
520001,0.574939
530001,0.489844
540001,0.499339
550001,0.506081
560001,0.540046
570001,0.548788
580001,0.54415
590001,0.521323
600001,0.533156
610001,0.579542
620001,0.593432
630001,0.566501
640001,0.557066
650001,0.61788
660001,0.708991
670001,0.714407
680001,0.720682
690001,0.692934
700001,0.708075
710001,0.736942
720001,0.743194
730001,0.748175
740001,0.7311
750001,0.701284
760001,0.767765
770001,0.761781
780001,0.740393
790001,0.652489
800001,0.701324
810001,0.690033
820001,0.696739
830001,0.724276
840001,0.734221
850001,0.760789
860001,0.834598
870001,0.832623
880001,0.86489
890001,0.870726
900001,0.889115
910001,0.941268
920001,0.898766
930001,0.896434
940001,0.911015
950001,0.944945
960001,0.976044
970001,0.996467
980001,0.986917
990001,0.930969
