n,TimeA
1,2e-07
10001,0.0071308
20001,0.0221965
30001,0.0367449
40001,0.0334804
50001,0.0361455
60001,0.0556337
70001,0.0834901
80001,0.0936534
90001,0.0974693
100001,0.0992393
110001,0.111114
120001,0.137506
130001,0.135725
140001,0.126921
150001,0.124294
160001,0.130085
170001,0.170023
180001,0.175762
190001,0.186162
200001,0.159
210001,0.176162
220001,0.202037
230001,0.206051
240001,0.232866
250001,0.242754
260001,0.280608
270001,0.336379
280001,0.341316
290001,0.355595
300001,0.363567
310001,0.372818
320001,0.390803
330001,0.373229
340001,0.378507
350001,0.387984
360001,0.404695
370001,0.42215
380001,0.400518
390001,0.406218
400001,0.419826
410001,0.454881
420001,0.444652
430001,0.430862
440001,0.458325
450001,0.51192
460001,0.593882
470001,0.584399
480001,0.567537
490001,0.566033
500001,0.551821
510001,0.612496
520001,0.575101
530001,0.490672
540001,0.506943
550001,0.513059
560001,0.541867
570001,0.546686
580001,0.543582
590001,0.519017
600001,0.532595
610001,0.572148
620001,0.595331
630001,0.568751
640001,0.565834
650001,0.620326
660001,0.707835
670001,0.723929
680001,0.723169
690001,0.693099
700001,0.70967
710001,0.740793
720001,0.748497
730001,0.748383
740001,0.72596
750001,0.707735
760001,0.762769
770001,0.770226
780001,0.742485
790001,0.652522
800001,0.666597
810001,0.690971
820001,0.697549
830001,0.724456
840001,0.736711
850001,0.767156
860001,0.834399
870001,0.838152
880001,0.862172
890001,0.870646
900001,0.890397
910001,0.941012
920001,0.872474
930001,0.898479
940001,0.901153
950001,0.989161
960001,0.971842
970001,0.995693
980001,0.9845
990001,0.933906
