n,TimeA
1,2e-07
10001,0.0071926
20001,0.0234657
30001,0.0357421
40001,0.0315695
50001,0.0384704
60001,0.0563724
70001,0.0840281
80001,0.0953327
90001,0.098014
100001,0.100795
110001,0.110696
120001,0.140593
130001,0.140065
140001,0.129793
150001,0.132638
160001,0.134185
170001,0.17434
180001,0.17968
190001,0.184294
200001,0.158595
210001,0.177962
220001,0.209118
230001,0.209777
240001,0.23573
250001,0.247005
260001,0.282805
270001,0.345046
280001,0.350497
290001,0.366511
300001,0.37054
310001,0.380895
320001,0.397106
330001,0.380971
340001,0.382976
350001,0.395104
360001,0.407393
370001,0.429163
380001,0.407621
390001,0.413462
400001,0.425476
410001,0.462092
420001,0.453612
430001,0.441545
440001,0.466803
450001,0.500408
460001,0.602018
470001,0.593453
480001,0.579121
490001,0.573937
500001,0.56364
510001,0.623163
520001,0.591932
530001,0.501354
540001,0.510281
550001,0.517705
560001,0.598494
570001,0.560088
580001,0.559164
590001,0.539282
600001,0.546349
610001,0.586861
620001,0.608881
630001,0.582018
640001,0.578102
650001,0.636305
660001,0.725072
670001,0.72922
680001,0.735851
690001,0.709449
700001,0.724723
710001,0.760066
720001,0.761282
730001,0.765846
740001,0.738386
750001,0.72203
760001,0.77852
770001,0.778701
780001,0.782991
790001,0.662315
800001,0.691886
810001,0.708032
820001,0.718743
830001,0.745301
840001,0.754713
850001,0.780062
860001,0.853513
870001,0.858011
880001,0.892508
890001,0.893788
900001,0.91342
910001,0.962226
920001,0.892714
930001,0.923226
940001,0.922963
950001,0.965013
960001,0.996158
970001,1.02246
980001,1.00632
990001,0.955206
