w,TimeA
1,0.948714
2,0.942443
3,0.941032
4,0.942481
5,0.943203
6,0.942195
7,0.939428
8,0.944413
9,0.93795
10,0.941231
11,0.94682
12,0.939183
13,0.940453
14,0.947219
15,0.945344
16,0.941458
17,0.936455
18,0.951038
19,0.935997
20,0.938198
21,0.947661
22,0.936531
23,0.945056
24,0.940842
25,0.972974
26,0.960311
27,0.939089
28,0.936878
29,0.937415
30,0.94156
31,0.940761
32,0.934189
33,0.931946
34,0.938786
35,0.93932
36,0.938797
37,0.939959
38,0.938705
39,0.933876
40,0.936637
41,0.937899
42,0.963468
43,0.936888
44,0.936392
45,0.934546
46,0.940855
47,0.934561
48,0.935163
49,0.932468
50,0.938169
51,0.938884
52,0.938429
53,0.93618
54,0.933756
55,0.93943
56,0.932164
57,0.934053
58,0.936983
59,0.934807
60,0.935741
61,0.932691
62,0.941481
63,0.929915
64,0.93024
65,0.965476
66,0.92916
67,0.929182
68,0.932721
69,0.937292
70,0.932272
71,0.932493
72,0.930465
73,0.933631
74,0.943346
75,0.92918
76,0.930735
77,0.931366
78,0.933277
79,0.931005
80,0.943268
81,0.935442
82,0.934737
83,0.930406
84,0.936374
85,0.935123
86,0.931702
87,0.932818
88,0.933613
89,0.930683
90,0.934185
91,0.934643
92,0.932089
93,0.934007
94,0.938755
95,0.932544
96,0.932992
97,0.928641
98,0.932076
99,0.93247
100,0.936012
