w,TimeA
1,0.945353
2,0.985345
3,0.988522
4,0.994662
5,0.998298
6,0.997549
7,0.998642
8,1.00563
9,1.00377
10,1.00648
11,1.00717
12,1.00266
13,1.00455
14,1.01085
15,1.00391
16,1.01298
17,1.04762
18,1.00636
19,1.01234
20,1.01484
21,1.01381
22,1.00648
23,1.02492
24,1.00937
25,1.00861
26,1.01621
27,1.01098
28,1.01125
29,1.01245
30,1.01624
31,1.01391
32,1.01544
33,1.01291
34,1.01668
35,1.01241
36,1.01573
37,1.02408
38,1.01703
39,1.01431
40,1.013
41,1.01396
42,1.0156
43,1.01552
44,1.02025
45,1.01462
46,1.0372
47,1.01738
48,1.01365
49,1.01569
50,1.01931
51,1.01481
52,1.01512
53,1.02292
54,1.02128
55,1.01521
56,1.01751
57,1.01453
58,1.02297
59,1.01663
60,1.0179
61,1.01793
62,1.0186
63,1.02281
64,1.02151
65,1.01567
66,1.01599
67,1.0151
68,1.02104
69,1.02191
70,1.02125
71,1.01636
72,1.01955
73,1.06067
74,1.01595
75,1.05573
76,1.01661
77,1.01496
78,1.06394
79,1.01529
80,1.02051
81,1.02013
82,1.01508
83,1.01448
84,1.01811
85,1.02163
86,1.01547
87,1.01893
88,1.01792
89,1.01679
90,1.02056
91,1.01742
92,1.01547
93,1.01624
94,1.01592
95,1.02354
96,1.02162
97,1.01427
98,1.01837
99,1.01653
100,1.01548
