n,TimeB
1,3.5e-06
10001,0.0065262
20001,0.0133176
30001,0.0214054
40001,0.0292255
50001,0.0361961
60001,0.0435837
70001,0.0513383
80001,0.0596596
90001,0.0683399
100001,0.0757513
110001,0.0845756
120001,0.0935796
130001,0.100336
140001,0.110923
150001,0.117722
160001,0.12602
170001,0.133704
180001,0.142467
190001,0.151058
200001,0.161361
210001,0.169711
220001,0.178365
230001,0.188703
240001,0.19376
250001,0.202398
260001,0.214941
270001,0.221981
280001,0.228928
290001,0.237607
300001,0.246428
310001,0.255669
320001,0.264366
330001,0.282194
340001,0.284537
350001,0.298697
360001,0.300907
370001,0.310093
380001,0.318258
390001,0.327876
400001,0.343679
410001,0.350807
420001,0.355452
430001,0.364231
440001,0.374789
450001,0.394172
460001,0.394904
470001,0.402422
480001,0.409273
490001,0.441924
500001,0.429978
510001,0.436332
520001,0.445632
530001,0.455386
540001,0.463645
550001,0.498199
560001,0.5206
570001,0.501433
580001,0.508745
590001,0.511125
600001,0.528089
610001,0.530526
620001,0.544796
630001,0.549514
640001,0.578425
650001,0.567301
660001,0.580192
670001,0.591703
680001,0.596913
690001,0.605366
700001,0.612526
710001,0.625473
720001,0.633803
730001,0.642166
740001,0.650549
750001,0.664133
760001,0.672042
770001,0.678814
780001,0.689299
790001,0.707346
800001,0.707245
810001,0.71909
820001,0.724171
830001,0.736583
840001,0.750321
850001,0.778525
860001,0.769504
870001,0.776596
880001,0.791938
890001,0.798191
900001,0.801334
910001,0.818469
920001,0.839048
930001,0.838133
940001,0.845235
950001,0.853022
960001,0.859904
970001,0.871821
980001,0.878431
990001,0.896578
