n,TimeB
1,4.1e-06
10001,0.0063083
20001,0.0132431
30001,0.0210552
40001,0.0307728
50001,0.0375253
60001,0.0452007
70001,0.0535598
80001,0.0598945
90001,0.0677712
100001,0.0754185
110001,0.0839175
120001,0.0924118
130001,0.101589
140001,0.108852
150001,0.118182
160001,0.125274
170001,0.142206
180001,0.143356
190001,0.151582
200001,0.161323
210001,0.169238
220001,0.17929
230001,0.186236
240001,0.194565
250001,0.203974
260001,0.214265
270001,0.221017
280001,0.229433
290001,0.24035
300001,0.25004
310001,0.257234
320001,0.26542
330001,0.275407
340001,0.285098
350001,0.293217
360001,0.300654
370001,0.311454
380001,0.319999
390001,0.3305
400001,0.337814
410001,0.348678
420001,0.356464
430001,0.368767
440001,0.377809
450001,0.384703
460001,0.395629
470001,0.404297
480001,0.416743
490001,0.428298
500001,0.431908
510001,0.441156
520001,0.450135
530001,0.459308
540001,0.470969
550001,0.477165
560001,0.49698
570001,0.500653
580001,0.506334
590001,0.519865
600001,0.526361
610001,0.538747
620001,0.575596
630001,0.554836
640001,0.569317
650001,0.581187
660001,0.581892
670001,0.590772
680001,0.600651
690001,0.618581
700001,0.629604
710001,0.635462
720001,0.639855
730001,0.655454
740001,0.662184
750001,0.670441
760001,0.681641
770001,0.686793
780001,0.699457
790001,0.713733
800001,0.770403
810001,0.728351
820001,0.744629
830001,0.75215
840001,0.754106
850001,0.765344
860001,0.785534
870001,0.789434
880001,0.799741
890001,0.808888
900001,0.821508
910001,0.828581
920001,0.836632
930001,0.845339
940001,0.863989
950001,0.864837
960001,0.870569
970001,0.88752
980001,0.896563
990001,0.900327
