w,TimeB
1,0.189948
2,0.190539
3,0.52211
4,0.557959
5,0.679117
6,0.630188
7,0.701618
8,0.691969
9,0.749983
10,0.713697
11,0.738537
12,0.733969
13,0.776412
14,0.752001
15,0.764537
16,0.749372
17,0.776039
18,0.762494
19,0.77989
20,0.774998
21,0.792939
22,0.774025
23,0.784413
24,0.783216
25,0.803269
26,0.787065
27,0.791038
28,0.783057
29,0.80011
30,0.789187
31,0.802898
32,0.793778
33,0.806203
34,0.79513
35,0.797832
36,0.801176
37,0.819838
38,0.801046
39,0.804205
40,0.799121
41,0.812328
42,0.805087
43,0.807423
44,0.801775
45,0.814084
46,0.804941
47,0.804579
48,0.80221
49,0.815427
50,0.809609
51,0.806991
52,0.810748
53,0.811729
54,0.80999
55,0.811758
56,0.808607
57,0.817859
58,0.807541
59,0.813357
60,0.815701
61,0.817444
62,0.813843
63,0.815837
64,0.810374
65,0.82009
66,0.810019
67,0.818713
68,0.816946
69,0.815505
70,0.810598
71,0.813436
72,0.81183
73,0.818314
74,0.815082
75,0.816809
76,0.813498
77,0.839955
78,0.833789
79,0.81795
80,0.817575
81,0.821568
82,0.812299
83,0.819566
84,0.821075
85,0.823686
86,0.815213
87,0.818379
88,0.814039
89,0.8209
90,0.820875
91,0.820109
92,0.816419
93,0.81965
94,0.818123
95,0.818442
96,0.817103
97,0.820871
98,0.818546
99,0.817521
100,0.82074
