w,TimeB
1,0.195191
2,0.189666
3,0.419903
4,0.497289
5,0.530571
6,0.559851
7,0.565956
8,0.573224
9,0.592875
10,0.586069
11,0.590977
12,0.591727
13,0.600252
14,0.600401
15,0.604565
16,0.652483
17,0.605965
18,0.611985
19,0.610101
20,0.60695
21,0.61503
22,0.617152
23,0.612908
24,0.613978
25,0.611802
26,0.612888
27,0.613891
28,0.615928
29,0.61768
30,0.615308
31,0.613744
32,0.61459
33,0.614739
34,0.615266
35,0.617605
36,0.616734
37,0.620077
38,0.617901
39,0.616607
40,0.61722
41,0.617956
42,0.62092
43,0.62058
44,0.618275
45,0.623568
46,0.621111
47,0.623337
48,0.619739
49,0.622714
50,0.618394
51,0.632466
52,0.620989
53,0.618665
54,0.61943
55,0.623616
56,0.621058
57,0.619987
58,0.622707
59,0.624368
60,0.625403
61,0.625598
62,0.620097
63,0.621929
64,0.630078
65,0.619502
66,0.619591
67,0.622079
68,0.622532
69,0.619689
70,0.620908
71,0.621738
72,0.623427
73,0.620784
74,0.623319
75,0.621124
76,0.624175
77,0.62845
78,0.622313
79,0.625727
80,0.622205
81,0.632052
82,0.623863
83,0.623241
84,0.623729
85,0.62532
86,0.622564
87,0.628483
88,0.622994
89,0.623744
90,0.665916
91,0.621634
92,0.62437
93,0.631033
94,0.622658
95,0.624803
96,0.628659
97,0.627585
98,0.62361
99,0.622315
100,0.623837
