w,TimeB
1,0.190066
2,0.474774
3,0.593057
4,0.663183
5,0.702039
6,0.728442
7,0.748088
8,0.803547
9,0.772613
10,0.782463
11,0.79128
12,0.795175
13,0.798662
14,0.806366
15,0.814919
16,0.815863
17,0.816226
18,0.817288
19,0.821024
20,0.822937
21,0.823375
22,0.824671
23,0.838971
24,0.828537
25,0.83565
26,0.832167
27,0.830493
28,0.833174
29,0.835233
30,0.843438
31,0.850447
32,0.838684
33,0.837427
34,0.86478
35,0.838429
36,0.840405
37,0.842881
38,0.843159
39,0.840788
40,0.842704
41,0.845852
42,0.842416
43,0.842382
44,0.844484
45,0.846414
46,0.846664
47,0.845654
48,0.852602
49,0.847207
50,0.848988
51,0.846665
52,0.857642
53,0.8507
54,0.849814
55,0.848137
56,0.855996
57,0.850388
58,0.850058
59,0.852181
60,0.852378
61,0.853023
62,0.865145
63,0.855495
64,0.851203
65,0.856433
66,0.855826
67,0.852658
68,0.851742
69,0.852542
70,0.851949
71,0.855385
72,0.853122
73,0.858271
74,0.855648
75,0.859427
76,0.854127
77,0.880734
78,0.859992
79,0.902006
80,0.864153
81,0.859343
82,0.857573
83,0.857006
84,0.858579
85,0.858921
86,0.859213
87,0.859083
88,0.862262
89,0.859543
90,0.863114
91,0.860981
92,0.85875
93,0.865447
94,0.865463
95,0.866181
96,0.861878
97,0.858202
98,0.864434
99,0.862226
100,0.860482
